name,domain,year founded,industry
ministry health care,ministryhealth.org,,hospital & health care
dsb,dsb.dk,1885,transportation/trucking/railroad
n-able technologies,n-able.com,2000,computer software
exide life insurance,exidelife.in,2001,insurance
triumph group,triumphgroup.com,1993,aviation & aerospace
frontier airlines,flyfrontier.com,1994,airlines/aviation
just dial limited,justdial.com,1996,information technology and services
efi,efi.com,1989,computer software
brasil brokers,brasilbrokers.com.br,2007,real estate
ingenico group,ingenico.com,1980,information technology and services
banco macro,macro.com.ar,1985,banking
watson realty corp.,watsonrealtycorp.com,1965,real estate
kbrwyle,wyle.com,1949,information technology and services
des moines public schools,dmschools.org,1907,education management
shriners hospitals for children,shrinershq.org,1922,hospital & health care
@properties,atproperties.com,2000,real estate
commonwealth of pa,,1923,environmental services
government of nova scotia,novascotia.ca,1867,government administration
ministerie van financiën,,,government administration
wis international,wisintl.com,1953,retail
flint group,flintgrp.com,2005,printing
bright house networks,brighthouse.com,,telecommunications
balfour beatty construction,balfourbeattyus.com,1909,construction
aar corp.,aarcorp.com,1951,airlines/aviation
university of north florida,unf.edu,1972,higher education
linamar,linamar.com,1966,automotive
queensland rail,queenslandrail.com.au,1865,transportation/trucking/railroad
syncrude canada ltd.,syncrude.ca,1964,oil & energy
louis berger,louisberger.com,1953,civil engineering
department of education and skills - ireland,education.ie,,government administration
aon benfield,aonbenfield.com,,insurance
corrections corporation of america,corecivic.com,1983,law enforcement
jackson health system,jacksonhealth.org,,hospital & health care
otp bank,otpbank.hu,1949,banking
john crane,johncrane.com,1917,oil & energy
naval air systems command (navair),,,defense & space
utfpr,utfpr.edu.br,1909,education management
"daewoo engineering & construction co.,ltd.",daewooenc.com,1973,construction
herc rentals,hercrentals.com,1965,construction
bypeterandpauls.com,,,entertainment
medstar georgetown university hospital,medstargeorgetown.org,1898,hospital & health care
self-employeed,debbiecarlsen.com,,music
nsg pilkington,nsg.com,1918,"glass, ceramics & concrete"
csg international,csgi.com,1994,computer software
cusd,capousd.org,1965,education management
ontario ministry of the attorney general,,1867,legal services
bank of the philippine islands (bpi),bpiexpressonline.com,1851,banking
university of nevada las vegas,,,higher education
distell,distell.co.za,2000,wine and spirits
fresher jobs,fresherjobs.guru,2015,staffing and recruiting
olg,olg.ca,1975,gambling & casinos
inegi,inegi.org.mx,1983,government administration
hipermercados tottus,maspormenos.com.pe,2002,supermarkets
public mutual berhad,publicmutual.com.my,,financial services
koninklijke kentalis,kentalis.nl,2010,hospital & health care
norwegian refugee council,nrc.no,1946,non-profit organization management
universidad panamericana,upmx.mx,1968,higher education
clovis unified school district,conejousd.org,,education management
technische universität münchen,tum.de,1868,research
gepensioneerd,jefbronselaer.net,,government administration
free lance,karinetaillandier.com,,public relations and communications
kingfisher airlines,flykingfisher.com,2005,airlines/aviation
fincantieri s.p.a.,fincantieri.com,,shipbuilding
new york city department of health and mental hygiene,,1866,hospital & health care
hennepin county medical center,hcmc.org,1887,hospital & health care
banque saudi fransi,alfransi.com.sa,1977,banking
davis school district,davis.k12.ut.us,,education management
broward college,broward.edu,1959,higher education
xavier university,xavier.edu,1831,higher education
college of charleston,cofc.edu,,higher education
dufry group,dufry.com,1865,retail
texas woman's university,twu.edu,1901,higher education
societe generale global solution centre,socgensolutions.com,2000,information technology and services
universal technical institute,uti.edu,1965,higher education
ithaca college,ithaca.edu,1892,higher education
inem,inem.pt,1981,hospital & health care
universidad de málaga,uma.es,1972,higher education
fibria,fibria.com.br,2009,paper & forest products
travel agency,tvem.com.tr,,airlines/aviation
exxaro resources,exxaro.com,2006,mining & metals
global payments,globalpaymentsinc.com,1967,financial services
gpl consulting uk ltd,republika.pl,2009,defense & space
sk engineering & construction co. ltd,skec.com,1977,oil & energy
bharti airtel services,bixbyintl.com,,telecommunications
"a.b.c.d., inc",abcd.org,,non-profit organization management
bajaj allianz life insurance co. ltd.,bajajallianzlife.com,2001,insurance
gtl limited,gtllimited.com,1987,telecommunications
bristol city council,bristol.gov.uk,,government administration
universidade federal de goiás,,,higher education
world economic forum,weforum.org,1971,non-profit organization management
telus international philippines,telusinternational.com.ph,2004,outsourcing/offshoring
hcl axon,,1994,management consulting
st. cloud state university,stcloudstate.edu,1869,higher education
alliander,alliander.com,2009,oil & energy
automobile club of southern california,,1904,insurance
cbs news,cbsnews.com,1927,broadcast media
sallie mae,salliemae.com,1972,financial services
ufscar,ufscar.br,1968,higher education
lindt & sprungli,lindt.com,1845,consumer goods
ccs,ccsfundraising.com,1947,philanthropy
iefp,iefp.pt,,government administration
teva pharmaceutical industries ltd.,,1901,pharmaceuticals
georgia state university,gsu.edu,,education management
cielo,cielo.com.br,1995,financial services
sandvoss.dk - mandskabsudlejning,sandvoss.dk,2008,staffing and recruiting
ministère de la défense / onacvg,onac-vg.fr,1916,defense & space
cigna group insurance,cigna.co.nz,,insurance
national science foundation,nsf.gov,1950,government administration
central piedmont community college,cpcc.edu,1963,higher education
université de lorraine,univ-lorraine.fr,2012,government administration
polizia di stato,poliziadistato.it,,law enforcement
rosneft,rosneft.com,,oil & energy
university of san diego,sandiego.edu,1949,higher education
blackboard,blackboard.com,1997,information technology and services
yamaha,yamaha.com,1960,music
yacht,yacht.nl,2000,staffing and recruiting
new hanover regional medical center,nhrmc.org,1967,hospital & health care
olvg,werkenbijhetolvg.nl,1898,hospital & health care
vrt,vrt.be,1930,broadcast media
hot topic,hottopic.com,1988,retail
work,work-chicago.com,,marketing and advertising
"reynolds american, inc.",reynoldsamerican.com,2004,tobacco
x5 retail group,x5.ru,,retail
aarhus university hospital,auh.dk,,hospital & health care
kpmg españa,kpmg.es,,accounting
fox news channel,foxnews.com,1996,broadcast media
in proprio,massimilianobuss.com,,internet
golden living,goldenliving.com,1963,hospital & health care
rostelecom,rostelecom.ru,1993,telecommunications
seton hall university,shu.edu,1856,higher education
governo do estado do paraná,,,information technology and services
bkd cpas & advisors,bkd.com,1923,accounting
john muir health,johnmuirhealth.com,,hospital & health care
royal commission for jubail and yanbu,rcjy.gov.sa,1975,executive office
crowne plaza® hotels & resorts,crowneplaza.com,1983,hospitality
rwth aachen university,rwth-aachen.de,,research
pru life uk,prulifeuk.com.ph,1996,financial services
sesi,sesipr.com.br,,civic & social organization
"honda r&d americas, inc.",hondaresearch.com,,automotive
bgis,bgis.com,1992,facilities services
femsa,femsa.com,1890,consumer goods
grey group,grey.com,1917,marketing and advertising
afip,afip.gov.ar,1997,government administration
intergraph,intergraph.com,1969,computer software
riyad bank,riyadbank.com,1957,banking
università degli studi di milano-bicocca,unimib.it,1998,research
security amazon,mijnevcportfolio.nl,,security and investigations
van oord,vanoord.com,,civil engineering
library of congress,loc.gov,,libraries
gems education,gemseducation.com,1980,education management
breakthru beverage group,breakthrubev.com,1926,wine and spirits
cbs radio,cbsradio.com,1928,entertainment
ankara university,ankara.edu.tr,,higher education
kuarzo inversiones,kjd.co.uk,,real estate
pandora,pandora.com,2000,internet
accel frontline ltd,accelfrontline.in,1991,information technology and services
axa investment managers,axa-im.com,1994,investment management
church,elbethelchurch.org,,religious institutions
city of mississauga,mississauga.ca,1974,government administration
federal reserve bank of new york,newyorkfed.org,1914,financial services
reecenichols real estate,reecenichols.com,2001,real estate
boston pizza,bostonpizza.com,1965,restaurants
publicis media,,,marketing and advertising
docusign,docusign.com,2003,computer software
groupe sii,groupe-sii.com,1979,information technology and services
mecklenburg county,mecklenburgcountync.gov,,government administration
pilgrim's,pilgrims.com,1946,food production
trugreen,trugreen.com,1973,consumer services
apac customer services,apaccustomerservices.com,1973,outsourcing/offshoring
the university of jordan,ju.edu.jo,1962,research
cleveland metropolitan school district,clevelandmetroschools.org,1837,education management
dexia,dexia.com,,banking
statistics canada,statcan.gc.ca,1918,government administration
realit,,,real estate
perkins+will,perkinswill.com,1935,architecture & planning
etisalat nigeria,etisalat.com.ng,2008,telecommunications
universidad mayor,umayor.cl,1988,higher education
year up,yearup.org,2000,non-profit organization management
estado activo,estadoactivo.com,2009,internet
wendy's,wendcentral.com,,restaurants
kiabi,kiabi.com,1978,retail
augusta university,gru.edu,2013,higher education
motilal oswal financial services ltd,motilaloswal.com,1987,financial services
kpmg brasil,kpmg.com.br,,accounting
lr health & beauty systems gmbh,lrworld.com,1985,cosmetics
a.c.camargo cancer center,accamargo.org.br,1953,hospital & health care
safran electronics & defense,safran-electronics-defense.com,,defense & space
price chopper supermarkets,pricechopper.com,1932,retail
oxxo,oxxo.com,,retail
"merck kgaa, darmstadt, germany",emdgroup.com,,pharmaceuticals
-not announced-,olafschmidt.de,,automotive
sharp electronics,sharpusa.com,1912,information technology and services
westchester medical center,worldclassmedicine.com,1917,hospital & health care
news corp,newscorp.com,2013,online media
faculdade pitagoras,faculdadepitagoras.com.br,1961,higher education
appen,appen.com,2011,information technology and services
power engineers,powereng.com,1976,civil engineering
belgian defence,mil.be,1830,military
commonwealth of kentucky,thewhitleyassociates.com,2015,management consulting
cambridge health alliance,challiance.org,,hospital & health care
premera blue cross,premera.com,1933,insurance
sotreq s/a,sotreq.com.br,1941,machinery
va health care systems,,,hospital & health care
bwf media,bwf-firmenverzeichnis.de,2013,media production
navair,,,defense & space
jsl s.a.,jsl.com.br,,logistics and supply chain
fitch ratings,fitchratings.com,1913,financial services
openbaar ministerie,om.nl,1811,law enforcement
doc,doc.govt.nz,1987,government administration
private healthcare systems,,,hospital & health care
valassis,valassis.com,1970,marketing and advertising
shop direct,shopdirect.com,,retail
tereos,tereos.com,,food production
oman air,omanair.com,1993,airlines/aviation
gerdau long steel north america,,1901,mining & metals
university of derby,derby.ac.uk,1992,higher education
railway,railway.at,,information technology and services
universidad privada del norte (upn),upn.edu.pe,1993,higher education
charité,charite.de,,hospital & health care
eclinicalworks,eclinicalworks.com,1999,computer software
shree cement ltd,shreecement.in,1979,building materials
hancock bank,hancockwhitney.com,1899,banking
memphis city schools,,,education management
translink express,,,accounting
sina,sina.com.cn,,internet
scottsdale healthcare,honorhealth.com,1962,hospital & health care
premier designs,premierdesigns.com,1985,apparel & fashion
recruitment compass,wetpaint.com,,management consulting
khatib & alami cec,khatibalami.com,1959,design
suddenlink communications,suddenlink.com,2003,telecommunications
universidad rey juan carlos,urjc.es,1996,higher education
hogeschool windesheim,windesheim.nl,1986,higher education
kuwait airways,kuwaitairways.com,1954,airlines/aviation
university of the arts london,arts.ac.uk,1986,higher education
svb sociale verzekeringsbank,svb.nl,1901,government administration
fiocruz,fiocruz.br,1900,pharmaceuticals
samba financial group,samba.com,1980,banking
sonepar,sonepar.com,1969,wholesale
alior bank s.a.,aliorbank.pl,2008,banking
consejería de educación,iesangelcorella.es,,education management
university of new mexico,unm.edu,1889,higher education
"association ""fortuna juvat""",,,events services
leeds beckett university,,,higher education
salini impregilo,salini-impregilo.com,1936,construction
cranfield university,cranfield.ac.uk,1946,higher education
campus crusade for christ,cru.org,1951,religious institutions
the keyes company,keyes.com,1926,real estate
plastic def,,,government administration
provincial health services authority,phsa.ca,,hospital & health care
novartis oncology,novartisoncology.com,,biotechnology
"vishay intertechnology, inc.",vishay.com,1962,electrical/electronic manufacturing
pomeroy,pomeroy.com,1982,information technology and services
premier foods,premierfoods.co.uk,1975,food production
metropolitan,metropolitan.co.za,,insurance
web.com,web.com,1997,internet
holiday inn hotel & suites,,,hospitality
"the geo group, inc.",geogroup.com,1984,security and investigations
city of hamilton,hamilton.ca,,government administration
beaconhouse school systems,beaconhouse.edu.pk,,education management
devereux,devereux.org,1912,mental health care
american bureau of shipping,eagle.org,1862,maritime
briggs & stratton,basco.com,1908,consumer goods
isro,,,defense & space
ge power conversion,gepowerconversion.com,2005,electrical/electronic manufacturing
suez - water technologies & solutions,suezwatertechnologies.com,,environmental services
independent contractor,writearm.com,,writing and editing
suffolk county council,suffolk.gov.uk,1974,government administration
life healthcare,lifehealthcare.co.za,1983,hospital & health care
dabur india limited,dabur.com,1884,consumer goods
royal caribbean international,,1969,"leisure, travel & tourism"
department of social welfare and development,dswd.gov.ph,,civic & social organization
securitas security services,securitas.com,,security and investigations
intel labs,,1968,research
duff & phelps,duffandphelps.com,1932,financial services
asd,asd-usa.com,1987,information technology and services
dhl global forwarding,logistics.dhl,1815,logistics and supply chain
bmw manufacturing,bmwusfactory.com,1916,automotive
grupo fleury,fleury.com.br,1926,"health, wellness and fitness"
sempra energy,sempra.com,1998,utilities
ralphs grocery company,ralphs.com,1873,supermarkets
wwe,wwe.com,1952,entertainment
universidad cooperativa de colombia,ucc.edu.co,,higher education
brand energy & infrastructure services,beis.com,1961,construction
neant,neant.edu,,accounting
kpmg nederland,,,accounting
nis gazprom neft,nis.eu,1949,oil & energy
vidant medical center,vidanthealth.com,,hospital & health care
egencia,egencia.it,2002,"leisure, travel & tourism"
walt disney imagineering,,,entertainment
barnabas health,barnabashealthcareers.org,,hospital & health care
glasgow city council,glasgow.gov.uk,,government administration
umeå university,umu.se,1965,research
jps health network,jpshealthnet.org,1906,hospital & health care
north west university potchefstroom campus,nwu.ac.za,,higher education
barnardo's,barnardos.org.uk,1866,non-profit organization management
castrol,castrol.com,1899,oil & energy
indiana wesleyan university,indwes.edu,1920,higher education
rio tinto alcan,riotintoalcan.com,,mining & metals
scana corporation,scana.com,,utilities
assemblée nationale,assemblee-nationale.fr,,public policy
"ansys, inc.",ansys.com,1970,computer software
optum (formerly alere wellbeing),alerewellbeing.com,,"health, wellness and fitness"
los angeles county department of public works,,1985,civil engineering
uniwersytet warszawski,uw.edu.pl,1816,higher education
south32,south32.net,2014,mining & metals
pubblica,pubblica.com.co,1989,events services
farfetch,farfetch.com,2008,internet
uniqa,uniqagroup.com,1999,insurance
new jersey institute of technology,njit.edu,1881,higher education
ctrip.com,ctrip.com,1999,information technology and services
chicago title,cttncs.com,1847,real estate
ntt data italia,,,information technology and services
fanshawe college,fanshawec.ca,1967,higher education
envoy air,envoyair.com,1998,airlines/aviation
corvel corporation,corvel.com,1987,insurance
shoppers stop,shoppersstop.com,1991,retail
county of santa clara,sccgov.org,,government administration
"arby's restaurant group, inc.",arbys.com,1964,restaurants
west pharmaceutical services,westpharma.com,,pharmaceuticals
info edge india ltd,infoedge.in,1995,internet
barc,barc.gov.in,1945,research
coca-cola i̇çecek,cci.com.tr,,food & beverages
ball aerospace,ballaerospace.com,1956,defense & space
lapd,lapdonline.org,1869,public safety
allen tate realtors,allentate.com,1957,real estate
"the venetian i the palazzo, resort hotel & casino i las vegas sands corp.",venetian.com,2004,gambling & casinos
esselunga,esselungajob.it,1957,retail
"minnesota state university, mankato",mnsu.edu,,higher education
partylite,partylite.com,1973,consumer goods
banco central do brasil,bcb.gov.br,1964,government administration
shop,seeyouinshop.com,,design
radial inc.,radial.com,2016,internet
lincoln electric,lincolnelectric.com,1895,machinery
premier inc.,premierinc.com,1968,hospital & health care
celcom,celcom.com.my,1988,telecommunications
camargo corrêa,camargocorrea.com.br,1939,construction
seattle university,seattleu.edu,1891,higher education
dachser se,dachser.com,1930,logistics and supply chain
hager group,hagergroup.com,1955,electrical/electronic manufacturing
narayana health,narayanahealth.org,2000,hospital & health care
cbs interactive,cbsinteractive.com,2008,online media
yanfeng automotive interiors,yfai.com,2015,automotive
consultoria,admpierri.com,,management consulting
washoe county school district,washoeschools.net,,education management
self imployed,graemejenkinson.co.uk,,design
hotel 1000,hotel1000seattle.com,2006,hospitality
healtheast,healtheast.org,1986,hospital & health care
vistaprint,vistaprint.com,1995,internet
nelson mandela metropolitan university,nmmu.ac.za,,higher education
hang seng bank,hangseng.com,1933,banking
estes express lines,estes-express.com,1931,transportation/trucking/railroad
silicon valley bank,svb.com,1983,banking
fluke corporation,fluke.com,1948,electrical/electronic manufacturing
chunghwa telecom,cht.com.tw,1996,telecommunications
emerson climate technologies,emersonclimate.com,,mechanical or industrial engineering
hok,hok.com,1955,architecture & planning
sotheby's,sothebys.com,,fine art
uz leuven,uzleuven.be,,medical practice
"department of justice and regulation, victoria, australia",justice.vic.gov.au,,government administration
"huntington ingalls industries, inc.",,2011,defense & space
bosch security systems,boschsecurity.com,,electrical/electronic manufacturing
votorantim metais,nexaresources.com,1956,mining & metals
r1 rcm,r1rcm.com,2003,hospital & health care
frost bank,frostbank.com,1868,banking
huntsville hospital,huntsvillehospital.org,1895,hospital & health care
norfolk southern railroad,,1982,transportation/trucking/railroad
itaú bba,itaubba.com,,banking
edith cowan university,ecu.edu.au,1991,higher education
faithful+gould,fgould.com,,construction
foley & lardner llp,foley.com,1842,legal services
boskalis,boskalis.com,1910,maritime
mgm grand hotel & casino las vegas,mgmgrand.com,1992,hospitality
kkm,kkm.com,1977,consumer goods
universidad de murcia,um.es,,research
millennium & copthorne hotels,millenniumhotels.com,1995,hospitality
otsuka pharmaceutical companies (u.s.),otsuka-us.com,,pharmaceuticals
city of san josé,sanjoseca.gov,,government administration
caterpillar logistics inc.,,1987,logistics and supply chain
shahi exports pvt ltd,shahi.co.in,1974,apparel & fashion
the north face,thenorthface.com,1968,apparel & fashion
mrc global,mrcglobal.com,1921,oil & energy
npcc,npcc.ae,1973,oil & energy
bmo nesbitt burns,,1987,investment management
lands' end,landsend.com,1963,apparel & fashion
altice usa,alticeusa.com,,telecommunications
hindalco industries limited,hindalco.com,1958,mining & metals
ferris state university,ferris.edu,1884,higher education
chicago police department,,,law enforcement
sa government,,,government administration
techtronic industries - tti,ttigroup.com,,consumer goods
pottery barn,potterybarn.com,1949,retail
puratos,puratos.com,1919,food production
cbre asia pacific,,1906,commercial real estate
oerlikon,oerlikon.com,1906,machinery
curves,curvesjennycareers.com,1992,"health, wellness and fitness"
[24]7.ai,247.ai,2000,computer software
jernbaneverket,banenor.no,2017,transportation/trucking/railroad
startek,startek.com,1987,outsourcing/offshoring
addis ababa university,aau.edu.et,,research
morgan sindall,morgansindall.com,,construction
deloitte belgium,deloitte.be,1953,management consulting
cartus,cartus.com,1955,real estate
cardno,cardno.com,1984,design
albert einstein college of medicine,yu.edu,,higher education
wichita state university,wichita.edu,1895,higher education
loews hotels,loewshotels.com,1946,hospitality
sick,sick.com,1946,industrial automation
bourbon,bourbonoffshore.com,1948,oil & energy
raytheon missile systems,,,defense & space
de beers,debeersgroup.com,1888,mining & metals
tusd,tusd1.org,1867,education management
universidad santo tomás,santotomas.cl,1988,higher education
university of canterbury,canterbury.ac.nz,1873,higher education
air methods,airmethods.com,1980,airlines/aviation
methodist healthcare,methodisthealth.org,1918,hospital & health care
youngstown state university,ysu.edu,,higher education
não registrado,made-in-china.com,,retail
informa,informa.com,1998,information services
apl logistics,apllogistics.com,,logistics and supply chain
weis markets,weismarkets.com,1912,retail
syngene international limited,syngeneintl.com,1994,research
resolute forest products,resolutefp.com,2007,paper & forest products
salfacorp,salfacorp.com,1929,construction
bpifrance,bpifrance.fr,2012,banking
dr. sulaiman al-habib medical group,drsulaimanalhabib.com,1995,hospital & health care
universidad nacional de cordoba,unc.edu.ar,,research
rand merchant bank,rmb.co.za,1977,banking
david lloyd leisure,davidlloyd.co.uk,1980,"health, wellness and fitness"
extendicare,extendicare.com,1968,hospital & health care
cochlear,cochlear.com,1982,medical devices
robi axiata limited,,1997,telecommunications
j.r. simplot company,simplot.com,1929,food production
save-a-lot,save-a-lot.com,1977,retail
deliveroo,deliveroo.co.uk,2012,food & beverages
uk government,,,government administration
heerema marine contractors,heerema.com,,oil & energy
renfe,renfe.com,2005,transportation/trucking/railroad
inteva products,intevaproducts.com,2008,automotive
bon appétit management company,bamco.com,1987,restaurants
perkins coie llp,perkinscoie.com,1912,law practice
jordan school district,workatjordan.org,1905,primary/secondary education
clalit health services,clalit.co.il,1911,hospital & health care
keiser university,keiseruniversity.edu,1977,education management
mortenson,mortenson.com,1954,construction
autogrill,autogrill.com,,restaurants
ortopedia merola snc,,,hospital & health care
university of michigan medical school,,1848,higher education
albemarle corporation,albemarle.com,,chemicals
country garden group,bgy.com.cn,,real estate
lazard,lazard.com,1848,financial services
bluegreen vacations,bluegreenvacations.com,1966,hospitality
parks canada,parkscanada.gc.ca,1911,government administration
politecnico di milano,,,research
tata capital,tatacapital.com,2007,financial services
groupe bpce,bpce.fr,2009,banking
amica mutual insurance,amica.com,1907,insurance
rasgas,rasgas.com,1993,oil & energy
cunningham lindsey,cunninghamlindsey.com,1929,insurance
pepperdine university,pepperdine.edu,1937,higher education
fulton county government,fultoncountyga.gov,1853,government administration
bauer media,bauermedia.co.uk,,media production
inland revenue nz,ird.govt.nz,,government administration
texas department of transportation,txdot.gov,,government administration
deluxe entertainment services group,bydeluxe.com,1915,motion pictures and film
inssjp,pami.org.ar,,hospital & health care
st georges healthcare nhs trust,stgeorges.nhs.uk,,hospital & health care
thomas & betts,tnb.com,,electrical/electronic manufacturing
pucrs - pontifícia universidade católica do rio grande do sul,pucrs.br,1948,higher education
crompton greaves,cgglobal.com,1937,electrical/electronic manufacturing
manchester city council,manchester.gov.uk,,government administration
hilton worldwide,,1919,hospitality
groupe macif,macif.fr,1960,insurance
signet,signetjewelers.com,1950,retail
primaria,ghelari-primarie.ro,,government administration
amerihealth caritas,amerihealthcaritas.com,,hospital & health care
shanghai general motors,saic-gm.com,1997,automotive
scottishpower,scottishpower.com,,utilities
enterprise fleet management,efleets.com,1957,automotive
msedcl,mahadiscom.in,,consumer services
morrison & foerster llp,mofo.com,1883,law practice
kimpton hotels & restaurants,kimptonhotels.com,1981,hospitality
gazprom neft,gazprom-neft.com,2006,oil & energy
anwb,anwb.nl,1883,"leisure, travel & tourism"
zuyderland,zuyderland.nl,1904,hospital & health care
manitoba hydro,hydro.mb.ca,1961,utilities
arauco,arauco.cl,1972,paper & forest products
etiketdirect.nl,,,accounting
institut pasteur,pasteur.fr,1888,research
dreamworks animation,dreamworksanimation.com,1994,animation
cci,imi-critical.com,1962,mechanical or industrial engineering
eddie bauer,eddiebauer.com,1920,retail
petrobras distribuidora s.a.,br.com.br,1971,oil & energy
galfar engineering & contracting saog,galfar.com,1972,construction
ics,icscolor.com,2000,computer software
beaverton school district,beaverton.k12.or.us,,primary/secondary education
china southern airlines,csair.com,1988,airlines/aviation
ibew,ibew.org,1891,non-profit organization management
department of the interior,doi.gov,1849,government administration
intercement,intercement.com,1967,building materials
hogarth worldwide,hogarthww.com,2008,marketing and advertising
hormel foods,hormelfoods.com,1891,consumer goods
advocate,tatwawadi.com,,judiciary
stuntman/stunt coordinator,,,writing and editing
cairo,,,human resources
indonesia power,indonesiapower.co.id,1995,oil & energy
manpower france,manpower.fr,1957,human resources
isoftstone,isoftstoneinc.com,2001,information technology and services
riverbed technology,riverbed.com,2002,computer networking
rock-tenn company,rocktenn.com,1936,packaging and containers
geometry global,geometry.com,2013,marketing and advertising
camh,camh.ca,1998,hospital & health care
bmw financial services,bmwusa.com,1992,financial services
scor,scor.com,1970,insurance
banco popular de puerto rico,popular.com,1893,banking
esb,esb.ie,1927,utilities
"ministère du budget, des comptes publics, de la fonction publique et de la réforme de l'etat",economie.gouv.fr,,government administration
university of missouri - st. louis,umsl.edu,1963,higher education
king's college hospital nhs foundation trust,kch.nhs.uk,1913,hospital & health care
georgia department of technical & adult education,clarke.k12.ga.us,,primary/secondary education
alliance healthcare,alliance-healthcare.co.uk,1938,pharmaceuticals
glaxosmithkline pharma gmbh,glaxosmithkline.at,,pharmaceuticals
mmodal,mmodal.com,2001,hospital & health care
salt lake community college,slcc.edu,,higher education
crunch fitness,crunch.com,1989,"health, wellness and fitness"
santander consumer usa,santanderconsumerusa.com,1997,financial services
deloitte south africa,,,management consulting
sterling bank plc,sterlingbankng.com,1960,banking
ramco systems,ramco.com,1999,computer software
galliford try,gallifordtry.co.uk,1908,construction
intellect design arena ltd,intellectdesign.com,2014,computer software
ebrd,ebrd.com,1991,banking
pwc sweden,pwc.se,,accounting
the scotts miracle-gro company,scottsmiraclegro.com,1868,consumer goods
standard parking,spplus.com,1929,facilities services
westgate resorts,westgateresorts.com,1970,hospitality
knpc,knpc.com,1960,oil & energy
novo banco,novobanco.pt,2014,banking
flir systems,flir.com,1978,electrical/electronic manufacturing
college of dupage,cod.edu,1967,higher education
pierre & vacances center parcs group,groupepvcp.com,1967,"leisure, travel & tourism"
gkn,,,mechanical or industrial engineering
ministry of defence of singapore,mindef.gov.sg,,government administration
ibm india private limited,,,information technology and services
"vxi global solutions, llc",vxi.com,1998,outsourcing/offshoring
thedacare,thedacare.org,1984,hospital & health care
honda cars india ltd,hondacarindia.com,1995,automotive
universidad de salamanca,usal.es,,higher education
secu,ncsecu.org,1937,financial services
central bank of indonesia,bi.go.id,,government administration
cadbury plc.,cadbury.com,1824,consumer goods
"modec, inc.",modec.com,1968,oil & energy
emerson process management,emersonprocess.com,,mechanical or industrial engineering
origami owl,origamiowl.com,2011,luxury goods & jewelry
hetero drugs ltd,heterodrugs.com,,pharmaceuticals
gowling wlg,gowlingwlg.com,,law practice
frost & sullivan,frost.com,1961,management consulting
pacific dental services,pacificdentalservices.com,1994,"health, wellness and fitness"
"jeppesen, a boeing company",jeppesen.com,1934,airlines/aviation
linfox,linfox.com,1956,logistics and supply chain
universidad del valle,univalle.edu.co,,higher education
keller willams realty,stevespeerhomes.com,,real estate
twitch,twitch.tv,2007,internet
studio legale,giuristiediritto.it,,law practice
softwareone,softwareone.com,1985,computer software
crowley maritime,crowley.com,1892,maritime
standard register,taylorcommunications.com,1912,printing
apg,apg.nl,2008,financial services
owens & minor,owens-minor.com,1882,logistics and supply chain
university of west florida,uwf.edu,1963,higher education
zions bancorporation,zionsbancorporation.com,1873,banking
scl health,sclhealth.org,1864,hospital & health care
keycorp,,,banking
secretaria de educação do estado de pernambuco,,,education management
start people,startpeople.nl,1977,staffing and recruiting
university of essex,essex.ac.uk,1964,higher education
universidade presbiteriana mackenzie,mackenzie.br,1870,higher education
white martins,whitemartins.com.br,1912,chemicals
phoenix children's hospital,phoenixchildrens.com,1983,hospital & health care
aberdeenshire council,aberdeenshire.gov.uk,,government administration
crown equipment corporation,crown.com,1945,logistics and supply chain
cabot corporation,cabotcorp.com,1882,chemicals
daelim industrial,daelim.co.kr,1939,construction
max healthcare,maxhealthcare.in,2000,hospital & health care
volunteer,sportsoutreach.net,,non-profit organization management
land transport authority (lta) singapore,lta.gov.sg,1995,transportation/trucking/railroad
lush fresh handmade cosmetics north america,lush.com,1994,cosmetics
arlington isd,aisd.net,,education management
clear channel outdoor,clearchanneloutdoor.com,1901,marketing and advertising
ministerio de educación pública de costa rica,mep.go.cr,,primary/secondary education
salon,,,cosmetics
department of eduacation,,,primary/secondary education
gnp seguros,gnp.com.mx,1901,insurance
polismyndigheten,polisen.se,1965,law enforcement
inria,inria.fr,1967,research
universidade federal de viçosa,ufv.br,1926,education management
the fresh market,thefreshmarket.com,1982,retail
open,open-groupe.com,1989,information technology and services
day & zimmermann,dayzim.com,1901,construction
sime darby berhad,simedarby.com,1910,investment management
western & southern financial group,westernsouthern.com,1888,financial services
diamond offshore,diamondoffshore.com,1993,oil & energy
arbonne international (independent consultant),myarbonne.com,,"health, wellness and fitness"
university of montana,umt.edu,1893,higher education
hamburg süd,hamburgsud.com,1871,maritime
kaust,kaust.edu.sa,2009,higher education
pages plus,,,graphic design
trafigura,trafigura.com,1993,oil & energy
state bank of india,,,import and export
bank hapoalim,bankhapoalim.com,1921,banking
abdul latif jameel,alj.com,1945,international trade and development
aps,aps.nl,,education management
shaklee corporation,shaklee.com,1956,"health, wellness and fitness"
chick-fil-a restaurants,,,restaurants
travel counsellors,travelcounsellors.co.uk,1994,"leisure, travel & tourism"
cnooc,cnoocltd.com,,oil & energy
magyar telekom,telekom.hu,1991,telecommunications
alghanim industries,alghanim.com,1932,retail
empresas polar,empresas-polar.com,,food & beverages
transwestern,transwestern.com,1978,commercial real estate
gtb,gtb.com,,marketing and advertising
rms,rms.com,1988,computer software
kuwait university,kuniv.edu,1966,higher education
