name,domain,year founded,industry
subway,subway.com,1965,restaurants
mayo clinic,mayoclinic.org,,hospital & health care
booz allen hamilton,boozallen.com,1914,management consulting
allianz,allianz.com,1890,financial services
telstra,telstra.com,1901,telecommunications
qualcomm,qualcomm.com,1985,wireless
john deere,johndeere.com,1837,machinery
aetna,aetna.com,1853,insurance
enterprise rent-a-car,enterprise.com,1957,automotive
bristol-myers squibb,bms.com,1887,pharmaceuticals
alberta health services,albertahealthservices.ca,2008,hospital & health care
us department of homeland security,dhs.gov,2003,government administration
commonwealth bank,commbank.com.au,1911,financial services
new york life insurance company,newyorklife.com,1845,financial services
siemens healthcare,,,hospital & health care
cibc,cibc.com,1867,banking
adidas,adidas.com,1949,sporting goods
weatherford,weatherford.com,1987,oil & energy
fluor corporation,fluor.com,1912,construction
pemex,pemex.com,1938,oil & energy
sopra steria,soprasteria.com,1968,information technology and services
hca,hcahealthcare.com,1968,hospital & health care
bmw group,bmwgroup.jobs,1916,automotive
dupont,dupont.com,1802,chemicals
nessuna azienda,navisysgroup.com,,writing and editing
sears holdings corporation,searsholdings.com,2005,retail
cleveland clinic,clevelandclinic.org,1921,hospital & health care
lafargeholcim,lafargeholcim.com,2015,building materials
kohl's department stores,kohls.com,1962,retail
humana,humana.com,1961,insurance
primerica,primerica.com,1977,financial services
axis bank,axisbank.com,1994,banking
coldwell banker residential brokerage,coldwellbanker.com,1906,real estate
bayer,bayer.com,1863,pharmaceuticals
fujitsu,fujitsu.com,1935,information technology and services
faa,faa.gov,1958,aviation & aerospace
bbva,bbva.com,1857,banking
university of michigan,umich.edu,1817,higher education
banco do brasil,bb.com.br,1808,banking
fis,fisglobal.com,,information technology and services
foxconn,foxconn.com,1974,electrical/electronic manufacturing
intercontinental hotels group (ihg®),ihgplc.com,2003,hospitality
ge power,gepower.com,,oil & energy
epam systems,epam.com,1993,computer software
pearson,pearson.com,1844,education management
national australia bank,nab.com.au,1858,banking
reliance,ril.com,1966,oil & energy
jcpenney,jcpenney.com,1902,retail
imss,imss.ge,2002,hospital & health care
bradesco,bradesco.com.br,1943,banking
boston scientific,bostonscientific.com,1979,medical devices
stay at home mom,,,law practice
lenovo,lenovo.com,2005,computer hardware
nationwide insurance,nationwide.com,,insurance
nissan motor corporation,nissan-global.com,1933,automotive
amazon web services,,2006,information technology and services
philip morris international,pmi.com,2008,tobacco
